freshwater_id;originalname;othernames;flag;lat;lon;country;ICES_GUID;ICES_key;ICES_GUID_duplicate;
;81;;what is this;;;;;;;
;83;;what is this;;;;;;;
;Aapuajoki;;;66.8862803;23.4927389;Sweden;;;;
;Aarhus å;;;56.1418526;10.0729081;Denmark;;;;
;Abava;;;57.041893;22.5735994;Latvia;;;;
;Abkær Grøft;;;55.177073;9.337027;Denmark;a2f2cfa8-b905-4fb6-94c5-47c6becaee49;DK1178b;;
;Abuls;;;57.4828005;25.784592;Latvia;;;;
;Ællingebæk Rende;;;;;;43ab7f68-b613-48bf-8ed8-61fdf016aca0;DK0822;;
;Afl f Gråsten Slotssø;;;;;;6630a05e-bf12-4181-8108-61f589559203;DK1135;;
;Afl f Varnæs Skovsø;;;;;;775a2f66-fe08-43b9-938f-bed4357416cb;DK1146;;
;Afl fra Føns Vang;;;;;;858228af-19a0-457c-b7d5-313e204d85ac;DK1008;;
;Afl fra Sandbjerg Dam;;;;;;bdf63225-ca7c-479e-b84e-8a33c61f9284;DK1140;;
;Afl fra Store Saltsø;;;;;;59d694ae-a85f-4c76-9e05-25f177a770e7;DK0601;;
;Afløb fra Kædeby Mose;;;;;;8be9b955-9935-4696-b9a9-75d3a6fa547d;DK0954;;
;Afløb fra Oldenor;;;;;;d8068233-8c80-4c83-a230-00f736e47948;DK1108;;
;Afløb fra Saltbækvig;;;;;;84b0df5e-87e3-4787-b45b-df12068b5cb5;DK0412;;
;Afløb fra Vænge Sø;;;;;;d37e04e3-7e97-40b1-864f-a9b36ce9b234;DK1407;;
;Afløb fra Vitsø;;;;;;a62b6c13-f8aa-4e9c-aeb4-35e2b1cd07c6;DK0952;;
;Afvandingsgrøft i Skovby Nor;;;;;;de4066b1-e9e1-49cf-b89c-ff019e449434;DK0727;;
;Aģe;Age;Are these same rivers;;;Latvia;fad64318-0178-45e0-a715-417b33bb0266;LV5341;;
;Ager;;;;;;86e9ab80-b86b-4230-80a7-30f02f6e1302;DK0955a;;
;Agerland Rende;;;55.4816656;10.4454097;Denmark;b16cad15-b4b7-4fa5-93c2-9cda393110a1;DK0908;;
;Agluona;;;55.3821149;22.444701;Lithuania;;;;
;Ahvenanmaa;"Ahvenanmaa,  Saaristo; Aland; Åland";;60.15205;20.291594;;;;;
;Aitra;;;55.5990183;21.9470323;Lithuania;;;;
;Akmena;;Same as Akmena-Dane?;55.9326073;21.2564621;Lithuania;;;;
;Akmena-Dane;"Akmena - Danė; Akmenos - Danės basin";;55.7689074;21.1455461;Lithuania;;;;
;Alanen Kihlankijoki;;;66.511773;23.406423;Sweden;;;;
;Alantas;;;55.8774901;21.5822629;Lithuania;;;;
;Aldershvilebæk;;;;;;1ad89c9e-68a4-45f2-94b8-9fe4add45a10;DK1404b;;
;Alhonoja;;;61.4917543;21.5899315;Finland;41d3b782-c404-4029-9c59-5ccc0ae920da;FI83004;1a35a5f0-069a-4e71-a1c7-8ed1f886e293;
;Almindrenden;;;;;;b9149dee-ed89-40db-bdf1-182c068b5a22;DK0604;;
;Alsterån;;;56.9391539;15.9227411;Sweden;ef62fe20-e631-4c52-95e8-fc2bdbf81c88;SE75000;;
;Alte Schwentine / Kührener Au UL;;;;;Germany;;;;
;Altersundet;;;65.7199742;22.1885731;Sweden;afc7df4a-8ff2-4520-95fb-b0e77aca9f0d;SE8000;;
;Alterälven;;;65.6811718;21.2196765;Sweden;1a1ece68-431d-40c1-9aaf-89c094a46baf;SE12000;;
;Althoefer;;;54.0932347;11.9210242;Germany;;;;
;Althöfer Bach;;;54.0932347;11.9210242;Germany;;;;
;Altja oja;;;59.58231;26.112324;Estonia;;;;
;Alån;;;;;;b473d2f8-79cc-4baa-aa25-e7803b30e1fb;SE10000;;
;Amarnia;;;;;;;;;
;Amata;;;;;Latvia;;;;
;Ambæk;;;55.1114408;12.104801;Denmark;1659ee48-1424-4d55-ac50-42c89273d9d0;DK0526;;
;Ančia;Ancia;;;;;;;;
;Angerja oja;;;59.1788328;24.8474839;Estonia;;;;
;Angla kraav;;;59.037469;24.649435;Estonia;;;;
;Anyksta;;;55.5158316;25.1852718;Lithuania;;;;
;Apotekerbækken;;;;;;430863cb-aba6-45e1-b076-c2fde7c5eeb6;DK1205 b;;
;Apše;;;56.3120799;21.6899879;Lithuania;48b026ce-648e-49e5-817c-d6412eedd2f7;LV342881;;
;Araka oja;;;;;Estonia;;;;
;Arakaoja;Araka oja;;58.0718055;24.6310055;Estonia;;;;
;Armona;;;;;;;;;
;Arumetsa oja;;;58.07125;24.51131;Estonia;;;;
;Askebæk;;;55.2092887;10.7804132;Denmark;874181b9-e3d0-4282-a9ab-0ad77371ffba;DK0101a;;
;Askehaveløbet;;;;;;a63995fc-140c-4d4c-9d09-d2505a3c808c;DK0742;;
;at sea;;Does not belong here;;;;;;;
;Audru jõgi;;;58.4510548;24.332401;Estonia;;;;
;Augraben;;;53.7704189;13.0283384;Germany;;;;
;Aurajoki;;;60.6008554;22.5481189;Finland;1c8798e3-380a-4a25-b375-9089c5ef5328;FI28000;;
;Azika;;;;;Russia;;;;
;Bach aus Bernstorf;;;;;;;;;
;Bach aus Blowatz;;;;;;;;;
;Bach aus Grundshagen;;;;;Germany;;;;
;Bach aus Hanshagen;;;;;;;;;
;Bach aus Huckstorf;;;;;Germany;;;;
;Bach aus Körchow;;;;;Germany;;;;
;Bach aus Neu Karin;;;;;;;;;
;Bach aus Parchow;;;;;Germany;;;;
;Bach aus Ravensberg;;;;;;;;;
;Bach aus Thorstorf;;;;;;;;;
;Bach aus Zapkendorf;;;;;;;;;
;Bach aus Zierow;;;;;Germany;;;;
;Bach bei Karschau;;;;;Germany;;;;
;Bach Bernstorf;;;53.83333;11.11667;Germany;;;;
;Bachgraben;;;;;;;;;
;Bachgraben (Ryckgraben);;;54.099744;13.292729;Germany;;;;
;Bækrenden,Bogø;;;;;;33559275-03dd-49a2-baae-fc504e107bad;DK0756;;
;Bagge;;;;;Denmark;;;;
;Bakkebølle Bæk;;;;;;29f7e9c8-4009-4c28-b212-406138901095;DK0706;;
;Baltic - Šventoji basin;;;;;Lithuania;;;;
;Barnitz;;;53.8053141;10.5019969;Germany;;;;
;Barta;;;;;;;;;
;Bārta;;;;;;5a91c66a-5809-4725-937d-b8aa6fa3cb52;LV3428555;;
;Barthe;;;;;;;;;
;Bartuva;;;56.2637428;21.5157624;Lithuania;;;;
;Bartuva (Barta);Bartuva(Barta);;56.2641182;21.5166742;Lithuania;;;;
;Bartuvos basin;;;54.913542;23.862091;Lithuania;;;;
;Basnæs pumpekanal;;;55.210124;11.345124;Denmark;84bd8880-191d-433a-a136-c2044a427b8e;DK0627;;
;Bauda;;;;;;;;;
;Bebirva;;;55.2837065;23.2671875;Lithuania;;;;
;Beke;;;;;Germany;;;;
;Bergshamraån;;;59.6394841;18.6284816;Sweden;;;;
;Beste;;;53.7949704;10.3554076;Germany;;;;
;Bezdonė;Bezdone;;54.7909779;25.5268346;Lithuania;;;;
;Bienebek;;;54.6016018;9.8906189;Germany;;;;
;Bildsø Å;;;55.4591021;11.2040577;Denmark;5e07c1b3-6f6f-4f53-b740-f7474efab45f;DK0603;;
;Birkenmoorgraben;;;;;;;;;
;Bisholt Bæk;;;;;;04f2650c-3a77-421d-804a-e06433ceb144;DK1302a;;
;Bjerregårdsløbet;;;;;;2722e47c-0f2d-4fd2-a27a-37abd0849e31;DK0741;;
;Björkån;;;63.3645751;17.246781;Sweden;;;;
;Bjørnebæk;;;55.1966855;11.5393048;Denmark;59326ef5-06a5-4c5b-9498-d9ff7d0b745d;DK0619;;
;Błotnica;Blotnica;;;;;;;;
;Blowatzer Bach;;;;;;;;;
;Blykobbe;;;55.1286646;14.7368308;Denmark;;;;
;Blåkilde Bæk;;;55.2397684;14.861972;Denmark;4bd523fd-da1f-4064-b00b-6904cb6b60e9;DK0138;;
;Bokenau;;;;;;;;;
;Bollhaegerfliess;"Bollhaeger Fliess; Bollhäger Fließ";;;;Germany;;;;
;Bollstaån;;;62.9998251;17.6410174;Sweden;;;;
;Bonäsån;;;60.0599279;23.3447456;Finland;722bedd0-cc5a-468f-9f4c-d734481c42bd;FI82010;;
;Borgforsälven;;;65.5695475;21.0671256;Sweden;;;;
;Bornholm;Bornholm area;At sea, doesnt belong here?;55.1431224;14.92262966;Denmark;;;;
;Botorpsströmmen;;;;;;6fc4d004-bd01-4cd6-b386-440d2105263f;SE71000;;
;Brændemølle å;;;;;Denmark;;;;
;Branderslev Å;;;54.8627813;11.1206302;Denmark;ffa9f25c-e6d4-4034-80cc-4f7bb8a516c2;DK0831;;
;Brandsau ML;;;;;Germany;;;;
;Brandsau UL;;;;;Germany;;;;
;Brasla;;;57.2938889;24.9208333;Latvia;;;;
;Brazuole;"Bražuole; Bražuolė";Braluole and Brazuole same or different?;54.6819868;24.9066576;Lithuania;;;;
;Brebowbach;;;53.9823707;13.7316486;Germany;;;;
;Bremena;;;;;;;;;
;Broendstrup Moelleaa;;;;;Denmark;;;;
;Broströmmen;;;;;;e6887be2-6de8-407d-b9f7-d47a7b8ed8f9;SE58000;;
;Bruksträsket;;;60.16627455;23.8390171;Finland;114f09b6-15a6-4830-8e9a-b6574ca351f9;FI81070;;
;Brüeler Bach;;;53.7319555;11.7412713;Germany;;;;
;Bräkneån;;;56.5433634;14.9761376;Sweden;4c7918ba-21b0-42b8-bb74-32013d8653a4;SE84000;;
;Brøndstrup Mølleå;;;56.5049062;10.7734376;Denmark;;;;
;Buatorpsån;;;;;;ab3c73bd-4da9-47df-a3c8-fecab92fb5c5;SE79000;;
;Bureälven;;;64.6190037;21.1824988;Sweden;cd806873-715b-4264-85fc-a3aff7f58492;SE21000;;
;Buslovka;;;60.8344681;28.3758401;Russia;;;;
;Buurdieksgraben;;;;;Germany;;;;
;Byskebäcken;;;64.9605548;21.2048484;Sweden;;;;
;Byskeälven;Byske älv;;65.4923022;19.4821515;Sweden;42616062-9ff8-4fe4-be48-d4170b7b4703;SE18000;;
;Bystryi;;;;;Russia;;;;
;Bäk;;;;;Germany;;;;
;Bäveån;;;58.3528767;12.0070512;Sweden;5776b22d-ee11-4fdd-a829-ffcba0d280da;SE109000;;
;Böllhäger Fließ;Böllhäger Fließ1;;54.1147654;11.8644174;Germany;;;;
;Bönälven;;;66.4417768;22.3402051;Sweden;;;;
;Börrumsån;;;;;Sweden;;;;
;Carbäk;Carbäck;;54.1093845;12.30054966;Germany;;;;
;Chernaya;;;;;Russia;;;;
;Ciecere;;;56.6956511;22.291107;Latvia;5325ac39-dfb5-4614-b8fe-a57d3cd32878;LV36611;;
;Cirvija;;;54.4870645;24.9035239;Lithuania;;;;
;Curau;Curau;;53.9501083;10.6223554;Germany;;;;
;Czarna Wda;;;53.84848525;18.08435142;Poland;;;;
;Czerwona;;;;;;;;;
;Dalkarbybäcken;;;60.167862;22.7765166;Finland;26a4b129-268a-410b-b3f6-feef79dd6536;FI82004;;
;Dalkarbydiket;;;;;;7255b1a3-5661-48e9-a210-ccda5ca9322a;FI82033A;;
;Dalkarlsån;;;64.0303992;20.8281474;Sweden;258d2587-7b36-4bba-aad0-7191de85acf4;SE25000;;
;Dalälven;;;60.1754162;16.4498376;Sweden;00d90d45-9a3b-4c6a-9feb-058e92cd8f0b;SE53000;;
;Damshäger Bach;;;;;;;;;
;Damsmose vandløb;;;54.81992;11.543388;Denmark;6f750b19-f58d-4d19-ba2a-eb763e23230b;DK0809;;
;Darba;;;;;;;;;
;Daugava;;;;;Latvia;ccbfc7f1-f807-4e35-849b-3b776b9f24f2;LV4111;;
;Debosznica;;;54.107846;15.4317073;Poland;;;;
;Degerbäcken;;;65.8616825;21.398293;Sweden;;;;
;Degerbärgsfjärden;;;;;;1000d5c0-63c4-4ece-9568-f3900b714bfd;FI82034A;;
;Delångersån;;;61.6713191;17.1101269;Sweden;e568b949-ac51-401f-b8f0-6c4bca7d86c1;SE45000;;
;Dingwatter Au;;;54.6293022;9.6657394;Germany;;;;
;Donnemoseløbet;;;;;;44e93280-424d-44bc-a50b-412c1a6c8236;DK0744;;
;Dragsholm Kanal;;;55.7686734;11.3960393;Denmark;07ae49aa-ea2b-4780-9e54-f952999c7871;DK0407;;
;Dratvuo;"Dratvinys; Dratvainys";;55.5420211;23.0016008;Lithuania;;;;
;Drawa;;;53.4082988;15.8969413;Poland;;;;
;Drikkær Bæk;;;;;;bced8e59-f5dc-4305-99ac-069471f650df;DK1312a;;
;Drwęca;Drweca;;53.3389813;19.5187406;Poland;;;;
;Dubysa;;;55.4493933;23.2125449;Lithuania;;;;
;Dubysos basin;;;55.230104;23.494419;Lithuania;;;;
;Dūkšta;Duksta;;55.519959;26.3217654;Lithuania;;;;
;Dunderkärrdiket;;;;;;bfb792d1-cf9c-4b5f-9f7c-5f6073888339;FI84034;;
;Durbe;;;56.5860468;21.3726593;Latvia;f052901b-5ff6-4822-a8ef-34c2952e2370;LV354611;;
;Dødmoseløbet;;;;;;3aab7977-0ec4-44da-bb37-ab3ff07cc975;DK0847;;
;ec_02;;!;;;Germany;;;;
;ec_03;;!;;;Germany;;;;
;ec_07_a;;!;;;Germany;;;;
;ec_07_b;;!;;;Germany;;;;
;ec_08;;!;;;Germany;;;;
;ec_09;;!;;;Germany;;;;
;Edstabäcken;;;62.4414634;16.5727727;Sweden;;;;
;Egehøjløbet;;;;;;6a8c0e96-0ab2-4024-9f81-876e3325414f;DK0848;;
;Egemarkeløbet;;;;;;78246eef-b502-488b-b485-10420c317c54;DK0408;;
;Egense;;;56.96192245;10.26929866;Denmark;02d52a4e-e369-47f3-825e-a57595bd7d3c;DK0934a;;
;Egholm Bæk;;;56.0366729;9.9035581;Denmark;19f75168-75c9-4fcf-9e08-855bb3301797;DK0818;;
;Egluona;;;56.3456224;22.721411;Lithuania;;;;
;Eglupe;Egļupe;;57.09909975;24.75421911;Latvia;0f99a8df-4b34-4215-beae-f7c3db1cedcc;LV52161;;
;Ekeberger Au OL;;OL/UL;;;Germany;;;;
;Ekeberger Au UL;;OL/UL;;;Germany;;;;
;Eleruona;;;;;;;;;
;Ellebæk;;;55.4807171;12.1602667;Denmark;92fa064c-2c1f-4108-a100-da74748008d9;DK0507;f870f9d4-ac9a-46a0-a78d-f4341f2a94f6;
;Elverdams Å;;st 1?;;;Denmark;;;;
;Elverdams Å st2;;st2?;;;Denmark;;;;
;Emakraav;;;;;Estonia;;;;
;Emån;;;57.4022762;15.07741611;Sweden;231df73a-5456-4c73-aee1-d16eac06faf0;SE74000;;
;Enningdalsälven;;;;;;52058dd6-fca5-4c8f-9e84-9d69598c765d;SE112000;;
;Enångersån;;;61.5410841;16.9332099;Sweden;;;;
;Eru kr.;;;;;Estonia;;;;
;Esgruser Mühlenstrom;;;;;;;;;
;Esna jõgi;;;58.8967636;25.682929;Estonia;;;;
;Espoonjoki;;;60.2148504;24.6752686;Finland;7b374d2a-72bc-42a5-8f54-590b8b0fd466;FI81055;;
;Estbyå;;;;;;6e29548a-299a-4a9d-bfb4-8701012b549f;FI81061;;
;Eurajoki;;;61.2018184;21.7296943;Finland;6aac45f3-6c64-4cf1-8168-4fb6ba9986e3;FI34000;;
;Evegrøft;;;55.2132446;11.7276773;Denmark;e7786120-798d-4cb9-ba8d-7f538c7e538a;DK0623;;
;Ezeruona;;;55.2543729;22.1904518;Lithuania;;;;
;Farpener Bach;;;;;;;;;
;Farver;;;;;;;;;
;Farver Au;;OL, WALD, UL, Bach;;;Germany;;;;
;Farver Au OL;;OL, WALD, UL, Bach;;;Germany;;;;
;Farver Au Wald;;OL, WALD, UL, Bach;;;;;;;
;Faule Trave UL;;OL, WALD, UL, Bach;53.96667;10.28333;Germany;;;;
;Fauler Bach;;OL, WALD, UL, Bach;;;;;;;
;Fauler Bach/Plastbach;;OL, WALD, UL, Bach;;;Germany;;;;
;ff_01;;!;;;Germany;;;;
;ff_04;;!;;;Germany;;;;
;ff_05_b;;!;;;Germany;;;;
;ff_06_b;;!;;;Germany;;;;
;ff_07;;!;;;Germany;;;;
;ff_08;;!;;;Germany;;;;
;ff_09_a;;!;;;Germany;;;;
;ff_09_b;;!;;;Germany;;;;
;ff_10;;!;;;Germany;;;;
;ff_16;;!;;;Germany;;;;
;Fiskars å;;;58.5064535;13.1587136;Sweden;62265eba-0b73-44e3-9218-1bb8e8fdb2e9;FI82002;;
;Fiskarsinjoki;;;;;;;;;
;Fjärdsbäcken;;;65.8068293;22.6311943;Sweden;bc25ccba-fde6-4994-96bd-ffdae0dbaf36;FI84011;;
;Fladmose Å;;;55.2310069;11.4131787;Denmark;fc74cae6-fd69-4ec8-a91e-a03808f62690;DK0616;;
;Fladsø Rende;;;54.8600146;11.0855717;Denmark;dba86f28-f1cc-41be-b684-a130baa3501c;DK0830;;
;Flædbæk;;;55.0121479;9.9061561;Denmark;d03511bf-9fbc-4b1e-8d75-c117499622b3;DK1113;;
;Flakvad Rende;;;55.8763413;12.5370818;Denmark;d59bea75-95e5-497d-a038-054147b18796;DK0212;;
;Flaruper Au;;;54.6570145;9.763404;Germany;;;;
;Flaßlandbek;;;;;;;;;
;Flintinge Å;;;54.7472695;11.788491;Denmark;9b3958ea-14f6-48f5-bfac-7c2db6069e2b;DK0714;;
;Flisebæk;;;55.1000027;15.1464176;Denmark;730992f8-6147-4788-b843-72879cf77d25;DK0119a;;
;Flybäcksdiket;;;62.3047782;21.38581;Finland;bcb6a44c-fc30-4a43-8978-4eee5df68ce1;FI83087;;
;Forsmarksån;;;60.3568739;18.1928976;Sweden;a78ff394-a7c0-43f8-bbcf-d7efcfa60086;SE55000;;
;Frejlev Å;;;54.7017658;11.758116;Denmark;52b4b1a9-27a4-405b-b1db-e24883ccc0e1;DK0716;;
;Fruebæk;;;;;Denmark;;;;
;Fruerskov Bæk;;;55.088286;10.648024;Denmark;;;;
;Fuglebæk Kanal;;;56.025155;12.11964;Denmark;5cbd2aa2-f96f-4049-92dd-08d00b0ef62b;DK0630;;
;Fuglebæks Å;;;55.6675554;11.1267094;Denmark;51bac7f6-f361-41f9-a205-c960204e8af4;DK0406;;
;Funen;;;55.32465655;10.34714169;Denmark;;;;
;Fylleån;;;56.7107982;13.1072956;Sweden;fbd72ac2-be6b-4851-81c8-28dc99409a2e;SE100000;;
;Fällforsån;;;64.0931509;20.1588535;Sweden;;;;
;Gærde Å;;;;;;820ee9b4-11f3-47ce-9b82-e0c468d28f37;DK0405;;
;Gammelbybäcken;;;60.48515;25.92583;Finland;cf78f110-473a-409d-b516-b984dbb4b778;FI81032;;
;Gammelström;;;62.0282732;21.3443018;Finland;674b993c-7e27-43e8-b0f9-21db9f1cecf9;FI83075;;
;Gammelsø-Maglemose Kanal;;;55.488437;11.231708;Denmark;5e6eb06b-7ab2-4f7b-a970-1eabb8b91962;DK0749a;;
;Gargån;;;;;;;;;
;Gauja;;;57.14458305;24.30795302;Latvia;4c233532-69c6-4cbf-a079-38e7e0f65804;LV52111;;
;Gauja (Vizla);;;54.2161669;25.612157;Lithuania;;;;
;Gavleån;;;60.6570443;17.0330999;Sweden;a1a82b00-5895-4d56-b09e-e487975b4a3c;SE52000;;
;Genevadsån;;;56.5733345;12.9747892;Sweden;fc7da94a-d1c8-47d9-bdf1-ee3dbe4f70d3;SE99000;;
;Gideälven;;;63.8575164;18.4803879;Sweden;6516cb3e-bbca-4050-b9f9-3c7a8f9447ed;SE34000;;
;Gladyschevka;;;;;Russia;;;;
;Glazupe;;;57.9215491;24.7499121;Latvia;;;;
;Glāžupe;;;57.9215491;24.7499121;Latvia;d7eca9a0-af07-4e01-a7ab-2485896bcfaa;LV54141;;
;Glomma;;;;;;ac3ae96d-15b1-4d39-ac02-0edd32c13510;SE113000;;
;Glomså;;;;;Finland;;;;
;Glud bæk;;;55.8059513;10.0072447;Denmark;baa22d29-b4c7-4be4-bc17-eccd69a56721;DK1302;;
;Gnarpsån;;;62.0403678;17.3256947;Sweden;31ed276e-67fa-4e2e-abd5-18157d7f1c0e;SE43000;;
;Goddestorfer Au;;;;;Germany;;;;
;Goldbach;;;;;;;;;
;Gorohovka;;;;;Russia;;;;
;Gothemsån;;;57.6053037;18.7353086;Sweden;771cbac4-826f-4cac-aea9-16ff17c4698e;SE117000;;
;Graben aus Ahrendsee;;;54.2140361;13.1224575;Germany;;;;
;Graben aus Sandhagen;;;;;;;;;
;Graben aus Thorstorf;;;;;;;;;
;Grabuosta;;;55.166371;25.3143614;Lithuania;;;;
;Grimsau OL;;OL/UL;54.673542;9.93317;Germany;;;;
;Grimsau UL;;OL/UL;;;Germany;;;;
;Grimsnisau;;;;;;;;;
;Grinau OL;;OL/UL;53.7748969;10.5485609;Germany;;;;
;Grinau UL;;OL/UL;;;Germany;;;;
;Grīva;;;55.8611884;26.5126459;Latvia;11204955-681b-446e-958d-42d1415bd478;LV37581;;
;Große Hüttener Au;;;54.4697133;9.7122473;Germany;;;;
;Große Schierbek;;;54.393565;10.395713;Germany;;;;
;Grundfjärdsbäcken (Åland);;;;;;2a74dc53-f207-4334-b68c-c3a18d180373;FI82036A;;
;Gräsanoja;;;60.1818713;24.7645524;Finland;8b2f4bc6-cb40-4420-bfd7-713b3ee8dd5e;FI81053;;
;Gudenå;;;56.1184882;9.6731751;Denmark;;;;
;Gumbölenjoki;;;60.208066;24.6062869;Finland;;;;
;Gusinaya;;;;;Russia;;;;
;Gådeån;;;62.6156035;17.8835102;Sweden;0d945821-b87b-4e0e-9b70-5ebe50975d87;SE39000;;
;Gåsebæk;;;55.7773606;12.2274537;Denmark;38733c1b-aa81-4e92-b422-0702f7acaa41;DK0214a;;
;Gäddbäcken;;;64.3699227;18.8306562;Sweden;fbfa9a23-3558-44d5-8a36-b50eebf58e18;FI83098;;
;Gätenbach;;;53.5492868;13.264672;Germany;;;;
;Gösebek;;;54.0385129;10.7314337;Germany;;;;
;Göta älv;;;58.0593149;12.1418989;Sweden;b8651dd3-77af-41b0-bdbe-b17bc1680875;SE108000;;
;Göwe;;;53.6766783;11.6456699;Germany;;;;
;Haaganpuro;;;60.2282696;24.9195902;Finland;d9917381-b9b5-403b-9593-ff398dda7d75;FI81V050;;
;Haaler Au;;;54.1399859;9.5427472;Germany;;;;
;Haapajoki;;;61.8948999;25.2581106;Finland;e0cb1d9c-a662-47d0-a396-9e0775982965;FI84088;;
